"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Regulation Of Angiogenesis (GO:0045765)","36/205",1.92644864359231e-14,5.75815499569741e-11,0,0,5.53178659529529,174.696658901214,"SEMA5A;RAMP2;HSPB6;NPR1;GATA6;ECSCR;PTPRM;TNFAIP3;GATA2;TSPAN12;ETS1;FGF2;AQP1;CDH5;RRAS;BMPER;HYAL1;ADAMTS1;ALOX5;HOXA5;SASH1;PPP1R16B;SEMA6A;PTGIS;ANXA3;EMP2;VEGFD;KLF4;CLDN5;IL6;RGCC;IL1B;RHOJ;COL4A3;PPARG;TEK"
"Positive Regulation Of MAPK Cascade (GO:0043410)","41/310",5.18050005328783e-12,7.74225732963866e-09,0,0,3.96428881035793,103.016482873171,"CCL14;NDRG4;RAMP3;PLA2G1B;LRRK2;C5AR1;ARRB1;FPR2;ADRB2;FGF2;AGER;CX3CL1;ART4;GHR;BMPER;GLIPR2;P2RY1;PLCE1;S100A12;CCL2;ALKAL2;CCN2;CD36;NTRK2;EDN1;CCL23;ANGPT1;CAV2;NPNT;MTURN;MARCO;BMP2;IL6;IL1B;DOK6;ROR1;TEK;FGFR4;TLR4;FERMT2;JCAD"
"Regulation Of ERK1 And ERK2 Cascade (GO:0070372)","34/244",8.31093358264431e-11,8.28046015950795e-08,0,0,4.18400621118012,97.1143994604042,"CCL14;NDRG4;RAMP3;C5AR1;FBLN1;ARRB1;FPR2;FGF2;AGER;CX3CL1;RRAS;BMPER;GLIPR2;P2RY1;TIMP3;CCL2;ALKAL2;CCN2;CD36;NTRK2;CCL23;SEMA6A;ANGPT1;NPNT;MTURN;TGFBR3;MARCO;BMP2;IL1B;ROR1;TEK;FGFR4;TLR4;FERMT2"
"Regulation Of Cell Migration (GO:0030334)","47/434",1.72991717038826e-10,1.29268060557263e-07,0,0,3.16518168269592,71.1462492972515,"SEMA5A;ACVRL1;ROBO4;TNXB;SEMA3B;FAM107A;SEMA3G;NEDD9;NEXN;ADARB1;LDB2;FGF2;VSIR;PPM1F;CX3CL1;NKD1;CDH5;DACH1;PODXL;PDPN;PHACTR1;SLIT2;SCAI;SASH1;NTNG1;EDN1;ACE;MYOC;FZD4;LIMCH1;SEMA6D;CAV1;TBX5;FGR;CLDN5;IGSF10;BMP2;CXCL12;TMSB15A;IL1B;MMRN2;PECAM1;MYADM;AMOTL1;RECK;FERMT2;HBEGF"
"Inflammatory Response (GO:0006954)","32/236",6.0559384492649e-10,3.62024000497056e-07,0,0,4.04399808703969,85.8330974169962,"CCL14;PTGER4;C5AR1;FPR1;FPR2;NLRC4;CXCL3;ITGAL;AGER;CXCL2;CX3CL1;IL1RL1;ADGRE5;HYAL1;CXCR2;PROK2;OLR1;CCL2;AOC3;CCL23;PPBP;FOS;SELE;BMP2;IL6;IL1B;AGTR1;AGTR2;ACKR1;IL17D;CDO1;TLR4"
"Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)","27/179",1.2512925186152e-09,6.23352223023471e-07,0,0,4.56104342282355,93.4972341677623,"CCL14;NDRG4;RAMP3;C5AR1;ARRB1;FPR2;FGF2;AGER;CX3CL1;BMPER;GLIPR2;P2RY1;CCL2;ALKAL2;CCN2;CD36;NTRK2;CCL23;ANGPT1;NPNT;MTURN;MARCO;BMP2;ROR1;TEK;FGFR4;FERMT2"
"Positive Regulation Of Angiogenesis (GO:0045766)","20/119",2.71449257723257e-08,1.15908833047831e-05,0,0,5.15313131313131,89.7782438504422,"SEMA5A;RAMP2;PTGIS;HSPB6;ANXA3;GATA6;EMP2;VEGFD;GATA2;KLF4;ETS1;FGF2;AQP1;CDH5;BMPER;RRAS;HYAL1;IL1B;TEK;SASH1"
"Regulation Of Endothelial Cell Migration (GO:0010594)","17/88",3.56242924049436e-08,1.3310126249797e-05,0,0,6.0921197837757,104.481304587103,"ACVRL1;EDN1;BMPR2;ANGPT1;ANXA3;PTPRM;EMP2;ETS1;FGF2;BMPER;RRAS;RHOJ;ATOH8;SLIT2;TEK;PLPP3;SASH1"
"Regulation Of Inflammatory Response (GO:0050727)","29/240",5.27992118357136e-08,1.74608352679556e-05,0,0,3.52764612954186,59.111953330286,"PTGER4;TNFAIP3;RORA;FPR2;NLRC4;ETS1;AGER;CX3CL1;CDH5;CAMK2N1;ALOX5;NFKBIZ;S100A12;SLC39A8;SNCA;IL33;PTGIS;PDE2A;NKG7;KLF4;SELE;IL6;IL1B;AGTR1;PPARG;CARD16;TEK;DNASE1L3;TLR4"
"Sprouting Angiogenesis (GO:0002040)","13/52",5.84169798191892e-08,1.74608352679556e-05,0,0,8.45046235138705,140.748021337068,"SEMA5A;CCBE1;RAMP2;EGR3;ANGPT1;VEGFD;FGF2;NR4A1;BMPER;ADTRP;SLIT2;TEK;RECK"
"Regulation Of Endothelial Cell Proliferation (GO:0001936)","17/93",8.37024983208976e-08,2.09442873399455e-05,0,0,5.68983714265744,92.7215690719797,"SEMA5A;PPP1R16B;BMPR2;EGR3;ANGPT1;CAV2;CAV1;TIE1;PTPRM;VEGFD;FGF2;NR4A1;BMP2;RGCC;ALOX5;ATOH8;TEK"
