"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Extracellular Structure Organization (GO:0043062)","17/109",1.00788470265635e-10,1.18962354102112e-07,0,0,9.0501693248853,208.316771719252,"MMP7;MMP1;COL11A1;SPINK5;ADAMTS12;MMP9;MMP10;COL1A1;MMP12;MMP11;COL3A1;COL1A2;MMP13;IBSP;COL5A1;COL5A2;COL10A1"
"External Encapsulating Structure Organization (GO:0045229)","17/110",1.16973799510435e-10,1.18962354102112e-07,0,0,8.95239639055493,204.732989947132,"MMP7;MMP1;COL11A1;SPINK5;ADAMTS12;MMP9;MMP10;COL1A1;MMP12;MMP11;COL3A1;COL1A2;MMP13;IBSP;COL5A1;COL5A2;COL10A1"
"Spindle Assembly Checkpoint Signaling (GO:0071173)","9/26",1.49511612828671e-09,6.08213240987035e-07,0,0,25.516082294987,518.513889173902,"CDC20;CENPF;NUF2;BUB1B;TTK;BUB1;NDC80;ZWINT;MAD2L1"
"Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)","9/26",1.49511612828671e-09,6.08213240987035e-07,0,0,25.516082294987,518.513889173902,"CDC20;CENPF;NUF2;BUB1B;TTK;BUB1;NDC80;ZWINT;MAD2L1"
"Mitotic Spindle Checkpoint Signaling (GO:0071174)","9/26",1.49511612828671e-09,6.08213240987035e-07,0,0,25.516082294987,518.513889173902,"CDC20;CENPF;NUF2;BUB1B;TTK;BUB1;NDC80;ZWINT;MAD2L1"
"Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841)","9/28",3.18563013540581e-09,1.07992861590257e-06,0,0,22.8278454757584,446.618024512204,"CDC20;CENPF;NUF2;BUB1B;TTK;BUB1;NDC80;ZWINT;MAD2L1"
"Extracellular Matrix Organization (GO:0030198)","19/176",4.9197391606022e-09,1.42953563609498e-06,0,0,5.93727079714341,113.58005164565,"MMP7;MMP1;COL11A1;SPINK5;P3H4;ADAMTS12;MMP9;MMP10;COL1A1;GREM1;MMP12;MMP11;COL3A1;COL1A2;MMP13;IBSP;COL5A1;COL5A2;COL10A1"
"Mitotic Spindle Organization (GO:0007052)","13/85",2.09223198325694e-08,5.31949981743078e-06,0,0,8.76413073521283,154.971297500004,"STIL;TTK;KIF11;NDC80;AURKA;TPX2;CCNB1;PRC1;KIF4A;NUF2;RCC1;BIRC5;DLGAP5"
"Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850)","11/59",3.07786895614169e-08,6.95598384088023e-06,0,0,11.0822504125413,191.683515717333,"CCNB1;STIL;KIF4A;NUF2;CDK1;RCC1;BIRC5;TTK;KIF11;DLGAP5;NDC80"
"Regulation Of Cell Cycle Process (GO:0010564)","14/130",5.41762260266899e-07,0.000110194443738287,0,0,5.85961819588959,84.5451411591914,"HMGA2;KIF11;MKI67;AURKA;PRC1;CHEK1;RCC1;NEK2;KIF2C;SOX9;KIF20A;ECT2;BUB1;MCM2"
"Positive Regulation Of Cell Cycle Process (GO:0090068)","13/118",1.06122695955452e-06,0.000196230512339445,0,0,5.99952617863066,82.5299909344003,"STIL;FEN1;EGF;KIF14;NCAPG;CDC6;NDC80;CIT;AURKA;BIRC5;ECT2;E2F8;MAD2L1"
"Collagen Fibril Organization (GO:0030199)","8/42",2.04381842678099e-06,0.000346427223339378,0,0,11.3027894204365,148.074348491535,"COL1A1;GREM1;COL3A1;COL1A2;COL5A1;COL11A1;COL5A2;P3H4"
"Mitotic Sister Chromatid Segregation (GO:0000070)","12/111",3.36609027142237e-06,0.000526663662467161,0,0,5.86089179637567,73.8575438562379,"TPX2;CCNB1;PRC1;CENPK;KIF14;NCAPG;KIF2C;KIF11;NDC80;ZWINT;CEP55;DLGAP5"
"Regulation Of Chromosome Segregation (GO:0051983)","6/28",1.96912827678061e-05,0.00268839740519926,0,0,13.0448988664148,141.345842987364,"RMI2;NCAPG;KIF2C;CDC6;MKI67;BUB1"
"Mitotic Cell Cycle Phase Transition (GO:0044772)","11/111",1.98259395663662e-05,0.00268839740519926,0,0,5.30532178217822,57.4487798339158,"CCNA2;CCNB2;CCNB1;MELK;CCNE2;UBE2C;CDK1;RCC1;FOXM1;AURKA;CDKN3"
"Mitotic Cytokinesis (GO:0000281)","8/59",2.82255687139144e-05,0.00358817542275637,0,0,7.52864094040565,78.8646391773106,"ANLN;KIF4A;BIRC5;KIF20A;ECT2;CENPA;CEP55;CIT"
"Extracellular Matrix Disassembly (GO:0022617)","7/44",3.10971810496718e-05,0.00372068625029602,0,0,9.06438791732909,94.0737835946344,"MMP12;MMP11;MMP7;MMP13;MMP1;MMP9;MMP10"
"Mitotic DNA Replication (GO:1902969)","4/10",3.47513006553485e-05,0.00392689697405438,0,0,31.7583130575831,326.071923060274,"GINS1;MCM4;TK1;MCM2"
"Cellular Component Disassembly (GO:0022411)","7/46",4.19131195209538e-05,0.00448690974240105,0,0,8.59866767219708,86.6738105723338,"MMP12;MMP11;MMP7;MMP13;MMP1;MMP9;MMP10"
