"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"217046_s_at",-3.46291866666667,8.73317433333333,-20.1877271213812,2.04937639714581e-40,6.23000446332404e-36,81.1258658916882
"215918_s_at",-2.5091,7.4489615,-20.1646894114192,2.27892252887939e-40,6.23000446332404e-36,81.0223008618663
"202524_s_at",-2.47131366666667,9.61257683333333,-19.1170533293202,3.05596633247483e-38,5.56949864093537e-34,76.2385924655988
"230469_at",-3.4138185,5.94067975,-18.4781766715825,6.48780718839224e-37,8.86802145063364e-33,73.2499417570058
"228540_at",-1.21880166666667,7.51818866666667,-18.4083505765786,9.08841791227293e-37,9.93818498707045e-33,72.9200152295805
"239650_at",-3.105129,5.725652,-18.1678775125679,2.91534719685656e-36,2.65661013313554e-32,71.7788461912985
"1557729_at",-1.770033,7.0629145,-17.9687728430024,7.69507117782688e-36,6.01040023782407e-32,70.8282066926102
"206208_at",-2.5027335,8.35137908333333,-17.852517845059,1.359374545808e-35,9.29047541150655e-32,70.2707209566365
"206209_s_at",-3.86942116666667,8.00884608333333,-17.5249524402568,6.81749611932047e-35,4.14162889248719e-31,68.6903672959796
"217771_at",2.06918166666667,8.93435866666667,17.3926826892051,1.31236210791761e-34,7.17533982503954e-31,68.0482425027531
"229893_at",-1.8765855,7.09923575,-17.3392030741191,1.71129199487036e-34,8.50589907450337e-31,67.7879689127706
"207302_at",-2.08049316666667,6.52517491666667,-17.2788375834535,2.31005620316013e-34,1.05251935756483e-30,67.4937357517644
"205941_s_at",3.798228,8.15951616666667,17.225369071188,3.01438355832038e-34,1.26778016193205e-30,67.2327240341378
"213715_s_at",-2.01435583333333,7.65522575,-17.1537445695971,4.30786283953003e-34,1.68237429108074e-30,66.8825004842993
"204396_s_at",-2.52072516666667,9.38335941666667,-16.7725982952609,2.91112856527489e-33,1.0611063620427e-29,65.0076582208347
"229641_at",-2.33121866666667,8.044039,-16.6196768396677,6.2975189486432e-33,2.15198030323167e-29,64.2502062426183
"209470_s_at",-4.19842516666667,7.77425175,-16.5102328571962,1.09587937151306e-32,3.52454144926333e-29,63.7062809882276
"210081_at",-4.397615,9.962941,-16.2657186441231,3.79804470867202e-32,1.15365608025913e-28,62.4856073958409
"231991_at",-1.7766025,7.75957758333333,-16.173985475274,6.0656680871165e-32,1.74547580348997e-28,62.0257204466713
"205637_s_at",-1.59067166666667,6.853925,-16.1302887816913,7.58371686958638e-32,2.07319859922318e-28,61.8062869225057
"230132_at",-1.98682666666667,8.137495,-16.068112288308,1.04250846896588e-31,2.71424526384332e-28,61.4936443382783
"217428_s_at",4.25829733333333,6.64942516666667,15.9986989139276,1.48798183475424e-31,3.697973037054e-28,61.1440479065929
"209469_at",-3.61581183333333,7.43042275,-15.9671281775738,1.74967647055681e-31,4.15928526207363e-28,60.984847308781
"203435_s_at",-2.194316,8.38944933333333,-15.9522037710786,1.8890211319639e-31,4.30342626625526e-28,60.9095459006357
"205107_s_at",1.6109275,7.53731941666667,15.8213358340508,3.70287341854679e-31,8.09818416636184e-28,60.2480807025275
"241672_at",-2.7189875,5.45985375,-15.8129633337589,3.86606423711117e-31,8.12988700630974e-28,60.2056911912776
"220027_s_at",-1.95229083333333,8.60887425,-15.8048783547113,4.03050463922087e-31,8.16177189442226e-28,60.1647492910696
"232224_at",-1.50618583333333,6.94144975,-15.7412062336813,5.59684460428558e-31,1.09288385264041e-27,59.8420396903804
"217177_s_at",-1.93427366666667,7.482167,-15.6459977854531,9.15228379016759e-31,1.72552109043936e-27,59.3585796269467
"205200_at",-2.87982466666667,10.6443163333333,-15.5700505086961,1.35591442310257e-30,2.47115403610444e-27,58.9721444475285
"226028_at",-2.39167416666667,9.28666441666667,-15.5033368946158,1.91610141807834e-30,3.37944661398171e-27,58.6321231604477
"242324_x_at",-1.79576216666667,7.12332175,-15.4661150471292,2.32438830095307e-30,3.86980161634974e-27,58.4421833073786
"209904_at",-3.11718933333333,8.13591783333333,-15.4651813808747,2.33568273140451e-30,3.86980161634974e-27,58.4374167763453
"221861_at",-1.21062633333333,8.75607066666667,-15.3656520213297,3.91807538743604e-30,6.30061093553133e-27,57.9287109313687
"238062_at",-2.2897235,8.08069458333333,-15.3496082476622,4.25924481831226e-30,6.65354886974923e-27,57.8466001678081
"49111_at",-1.3245365,8.47518308333333,-15.3359244988521,4.57370976169015e-30,6.94632170056692e-27,57.7765439533291
"235228_at",-2.581462,6.5051955,-15.2297636039361,7.95400776876122e-30,1.17536587772168e-26,57.232292084048
