"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Malaria","15/50",3.38611940537513e-10,9.21024478262036e-08,0,0,10.8959318826868,237.598503525349,"CSF3;GYPC;HBB;HBA2;HBA1;ITGAL;SELE;SELP;IL6;IL1B;PECAM1;CCL2;CD36;ACKR1;TLR4"
"Cell adhesion molecules","19/148",4.2368709732838e-06,0.000576214452366597,0,0,3.74610596723748,46.3456450230304,"NTNG1;CADM1;NEGR1;ICAM2;PTPRM;ITGAL;SELE;VSIR;SELP;CLDN11;CDH5;CLDN5;NFASC;ITGA8;PECAM1;CLDN18;ESAM;JAM2;JAM3"
"Cytokine-cytokine receptor interaction","28/295",1.12350497794163e-05,0.00101864451333375,0,0,2.68009327962688,30.5436086125435,"ACVRL1;CCL14;CX3CR1;CSF3;CSF3R;BMPR2;CXCL3;CXCL2;CX3CL1;GHR;IL1RL1;CXCR2;LEPR;CCL2;GDF10;IL33;CCL23;LIFR;PPBP;TGFBR2;BMP2;IL6;CXCL12;IL1B;ACKR4;IL17D;IL7R;IL18R1"
"TNF signaling pathway","15/112",2.5708167351392e-05,0.00156045710387957,0,0,3.91882296716051,41.416871428326,"EDN1;TNFAIP3;VEGFD;FOS;CXCL3;SELE;CXCL2;CX3CL1;SOCS3;IL6;IL1B;CCL2;MAP3K8;JUNB;IL18R1"
"AGE-RAGE signaling pathway in diabetic complications","14/100",2.86848732330803e-05,0.00156045710387957,0,0,4.12230835486649,43.1158028416804,"EGR1;EDN1;PRKCE;VEGFD;AGER;SELE;TGFBR2;THBD;IL6;IL1B;COL4A3;AGTR1;PLCE1;CCL2"
"Viral protein interaction with cytokine and cytokine receptor","13/100",0.000119525678560382,0.00541849742807067,0,0,3.77866350840432,34.1288106890516,"CCL14;CX3CR1;CCL23;PPBP;CXCL3;CXCL2;CX3CL1;IL6;CXCL12;CXCR2;ACKR4;CCL2;IL18R1"
"Vascular smooth muscle contraction","15/133",0.00018855352723828,0.00732665134411603,0,0,3.21786957009765,27.5968633388955,"GUCY1A2;PPP1R14A;EDN1;RAMP2;PRKCH;CALCRL;RAMP3;NPR1;PLA2G1B;PRKCE;ADRA1A;AGTR1;MYH11;MYL9;MYH10"
"Axon guidance","18/182",0.000241813798784678,0.00822166915867904,0,0,2.78272573949144,23.1727104679074,"SEMA5A;NTNG1;ROBO2;SEMA6A;BMPR2;DCC;SEMA6D;SEMA3B;NTN4;SEMA3G;CXCL12;RRAS;ABLIM3;CFL2;DPYSL2;SLIT3;SLIT2;MYL9"
"Renin secretion","10/69",0.00029369324775637,0.00887606259885918,0,0,4.27542372881356,34.7719130622508,"PTGER4;GUCY1A2;EDN1;ACE;PDE1C;NPR1;AGTR1;ADRB1;ADRB2;AQP1"
"Complement and coagulation cascades","11/85",0.000408093843992214,0.0111001525565882,0,0,3.75166470818645,29.2780416558325,"CFD;THBD;F8;CPB2;VWF;C7;PROS1;C5AR1;SERPING1;VSIG4;MASP1"
"Rheumatoid arthritis","11/93",0.000883453625767083,0.0218453987462406,0,0,3.38423471191234,23.7968276421704,"IL6;CXCL12;ANGPT1;IL1B;CCL2;FOS;TEK;CXCL3;ITGAL;CXCL2;TLR4"
"IL-17 signaling pathway","11/94",0.000966470357516747,0.0219066614370463,0,0,3.34328618823119,23.2086244236416,"CSF3;IL6;JUND;IL1B;TNFAIP3;CCL2;FOSB;FOS;CXCL3;IL17D;CXCL2"
"Leukocyte transendothelial migration","12/114",0.00147966428240044,0.0306207211213031,0,0,2.96880335247555,19.3445446743311,"CLDN11;CDH5;CLDN5;CXCL12;PECAM1;CLDN18;ESAM;ITGAL;MYL9;JAM2;RAPGEF4;JAM3"
"Renin-angiotensin system","5/23",0.00157606652830237,0.0306207211213031,0,0,6.9760348583878,45.0151187065411,"CPA3;ACE;MME;AGTR1;AGTR2"
"African trypanosomiasis","6/37",0.00267600214272534,0.0474123673927278,0,0,4.86378990035467,28.8103255074665,"IL6;IL1B;HBB;HBA2;HBA1;SELE"
"Fluid shear stress and atherosclerosis","13/139",0.00278896278780752,0.0474123673927278,0,0,2.60376171604705,15.3155490690338,"EDN1;BMPR2;CAV2;DUSP1;CAV1;FOS;SELE;KLF2;CDH5;THBD;IL1B;PECAM1;CCL2"
"Chemokine signaling pathway","16/192",0.00316296407159378,0.0506074251455005,0,0,2.29732336628888,13.2239577342095,"CCL14;CX3CR1;CCL23;SHC3;ARRB1;PPBP;CXCL3;GNG11;CXCL2;CX3CL1;FGR;PREX1;CXCL12;GRK5;CXCR2;CCL2"
"cAMP signaling pathway","17/216",0.004297055827187,0.0649332880552703,0,0,2.15904889654114,11.7664390458472,"GRIA1;EDN1;NPR1;BDNF;HHIP;ARAP3;ADRB1;ATP1A2;FOS;ADRB2;SSTR1;HCAR3;RRAS;FXYD1;PLCE1;MYL9;RAPGEF4"
"ECM-receptor interaction","9/88",0.00672879561088253,0.0931017834931793,0,0,2.86696385502088,14.3387157932156,"TNXB;FRAS1;VWF;COL4A3;ITGA8;COL6A6;CD36;COL6A5;NPNT"
"ABC transporters","6/45",0.00723299619535681,0.0931017834931793,0,0,3.86447845348369,19.0484081537621,"ABCB1;ABCA6;ABCA3;ABCA9;ABCA8;ABCG2"
"PPAR signaling pathway","8/74",0.00747222959364196,0.0931017834931793,0,0,3.04843712717728,14.9268609431057,"FABP4;ACADL;SCD5;OLR1;LPL;PPARG;CD36;SORBS1"
"Transcriptional misregulation in cancer","15/192",0.00753029131194832,0.0931017834931793,0,0,2.13862386350881,10.4553504335607,"GADD45B;BCL2A1;ZBTB16;LMO2;FLI1;TGFBR2;IL6;MEIS1;NR4A3;ZEB1;TSPAN7;NFKBIZ;PPARG;ERG;RUNX1T1"
"Pertussis","8/76",0.00874567394034417,0.103427100511896,0,0,2.95846842674078,14.020762052733,"IL6;SFTPA2;CFL2;IL1B;SERPING1;FOS;SFTPA1;TLR4"
"Signaling pathways regulating pluripotency of stem cells","12/143",0.00932671587142384,0.105702779876137,0,0,2.3080827408407,10.7899921237044,"MEIS1;BMPR2;WNT2B;FZD4;ID4;SMAD9;ID3;LIFR;FGFR4;KLF4;FGF2;TBX3"
"Osteoclast differentiation","11/127",0.00999832680430426,0.10878179563083,0,0,2.38805597201399,10.9978037667186,"SOCS3;JUND;FCGR3B;IL1B;FOSB;PPARG;FOS;JUNB;SIRPB1;OSCAR;TGFBR2"
"Proximal tubule bicarbonate reclamation","4/23",0.0107658844493601,0.112505848161435,0,0,5.27992304521094,23.9253006859733,"CA2;CA4;ATP1A2;AQP1"
"Relaxin signaling pathway","11/129",0.0111678599277895,0.112505848161435,0,0,2.34733480717268,10.550601614097,"EDN1;EDNRB;SHC3;COL4A3;ARRB1;VEGFD;NOS1;FOS;RXFP1;GNG11;TGFBR2"
"cGMP-PKG signaling pathway","13/167",0.0126708213793447,0.123087979113634,0,0,2.12722812194411,9.29269704541647,"GUCY1A2;KCNJ8;NPR1;PRKCE;PDE2A;ADRB1;ATP1A2;ADRB2;ADRA1A;EDNRB;AGTR1;PDE5A;MYL9"
"Phagosome","12/152",0.0146555215570943,0.137458684949298,0,0,2.15868827742179,9.11600700821969,"MSR1;MARCO;TUBB6;FCGR3B;SFTPA2;TUBB1;SFTPD;OLR1;CD36;NOS1;SFTPA1;TLR4"
"Protein digestion and absorption","9/103",0.0178551612215045,0.157808952233896,0,0,2.40758240836525,9.69163310618444,"CPA3;CPB2;COL13A1;MME;COL4A3;SLC1A1;COL6A6;ATP1A2;COL6A5"
"Coronavirus disease","16/232",0.0179855791148925,0.157808952233896,0,0,1.86796345417035,7.50582273670961,"CFD;CSF3;ACE;VWF;C5AR1;FOS;SELP;IL6;C7;IL1B;AGTR1;TLR8;CCL2;MASP1;TLR4;HBEGF"
"Legionellosis","6/57",0.0219123838722142,0.178691433417142,0,0,2.9533415460425,11.283841874756,"IL6;IL1B;NLRC4;CXCL3;CXCL2;TLR4"
"Bile secretion","8/90",0.0226022066781606,0.178691433417142,0,0,2.4515716023302,9.29073986877743,"ABCB1;CA2;AQP9;AQP4;ATP1A2;LDLR;AQP1;ABCG2"
"Hypertrophic cardiomyopathy","8/90",0.0226022066781606,0.178691433417142,0,0,2.4515716023302,9.29073986877743,"EDN1;IL6;ACE;DES;TNNC1;ITGA8;CACNA2D2;SGCG"
"JAK-STAT signaling pathway","12/162",0.0229933829764705,0.178691433417142,0,0,2.01372031662269,7.59685816626755,"SOCS2;GHR;SOCS3;CSF3;IL6;CSF3R;FHL1;LEPR;AOX1;LIFR;IL7R;IL17D"
"Neuroactive ligand-receptor interaction","21/341",0.0238249019323919,0.18001037015585,0,0,1.65683411214953,6.19162875101354,"PTGER4;GRIA1;VIPR1;EDN1;CALCRL;P2RY14;C5AR1;FPR1;ADRB1;FPR2;ADRB2;SSTR1;RXFP1;ADRA1A;GHR;EDNRB;P2RY1;AGTR1;LEPR;S1PR1;AGTR2"
"Nitrogen metabolism","3/17",0.0258293801705014,0.189880848820983,0,0,5.36859750419072,19.6288952656761,"CA3;CA2;CA4"
"TGF-beta signaling pathway","8/94",0.0284493956561977,0.203637779433836,0,0,2.33705670512116,8.31905332869375,"CDKN2B;BMP2;BMPR2;ID4;SMAD9;ID3;SMAD6;TGFBR2"
"Staphylococcus aureus infection","8/95",0.0300602139443842,0.208059198774346,0,0,2.31007330980179,8.09577383395046,"CFD;SELP;FCGR3B;C5AR1;FPR1;MASP1;FPR2;ITGAL"
"Adrenergic signaling in cardiomyocytes","11/150",0.0305969409962273,0.208059198774346,0,0,1.99051193827547,6.94062698716385,"TNNC1;AGTR1;CACNA2D2;SCN7A;ADRB1;ATP1A2;AGTR2;ADRB2;ADRA1A;SCN4B;RAPGEF4"
"PI3K-Akt signaling pathway","21/354",0.0338352929259726,0.224468284777184,0,0,1.59105834806769,5.38772268648948,"NTRK2;CSF3;TNXB;CSF3R;VWF;ANGPT1;BDNF;VEGFD;GNG11;FGF2;GHR;NR4A1;IL6;COL4A3;ITGA8;COL6A6;COL6A5;TEK;FGFR4;IL7R;TLR4"
"Aldosterone synthesis and secretion","8/98",0.035265656246972,0.228387107123247,0,0,2.23272090988626,7.46810693356878,"NR4A1;NPR1;PRKCE;PDE2A;AGTR1;ATP1A2;LDLR;KCNK3"
"MAPK signaling pathway","18/294",0.0362340735726092,0.229201581668598,0,0,1.64379047178538,5.45369462209174,"NTRK2;JUND;GADD45B;ANGPT1;DUSP1;BDNF;CACNA2D2;VEGFD;ARRB1;FOS;FGF2;TGFBR2;NR4A1;RRAS;IL1B;MAP3K8;TEK;FGFR4"
"Pathways in cancer","29/531",0.0378951171714632,0.234260724332681,0,0,1.46004914216279,4.7786430331975,"PTGER4;CSF3R;WNT2B;EPAS1;NOTCH4;HHIP;FGF2;ETS1;EDNRB;RUNX1T1;CDKN2B;EDN1;GADD45B;FZD4;DCC;DAPK2;ZBTB16;VEGFD;FOS;GNG11;TGFBR2;BMP2;IL6;CXCL12;COL4A3;AGTR1;PPARG;FGFR4;IL7R"
