"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cell cycle","17/124",8.02382955173461e-10,1.6689565467608e-07,0,0,7.77546611562485,162.844970134442,"CDKN2A;BUB1B;TTK;CDC6;CDC20;CCNA2;CCNB2;CCNB1;ORC6;PTTG1;CCNE2;CHEK1;CDK1;MCM4;BUB1;MCM2;MAD2L1"
"p53 signaling pathway","9/73",1.96294201404971e-05,0.0020414596946117,0,0,6.76143011083744,73.2836323947423,"CCNB2;CCNB1;RRM2;CCNE2;CDKN2A;IGFBP3;CHEK1;CDK1;GTSE1"
"Protein digestion and absorption","10/103",5.62277408749804e-05,0.00389845670066531,0,0,5.1750962431966,50.644010965221,"DPP4;COL1A1;KCNK5;COL3A1;COL1A2;COL5A1;COL11A1;COL5A2;COL10A1;KCNN4"
"ECM-receptor interaction","9/88",8.78852701129341e-05,0.00457003404587257,0,0,5.47340525035855,51.1187497972146,"COMP;COL1A1;COL1A2;IBSP;ITGA11;TNC;SPP1;HMMR;THBS2"
"Pyrimidine metabolism","6/56",0.00104068582224556,0.0432925302054154,0,0,5.73154034229829,39.3635045696342,"NT5E;RRM2;ENPP3;TK1;TYMS;NME1"
"Oocyte meiosis","9/129",0.00149916681621587,0.0519711162954833,0,0,3.59575123152709,23.3826157256514,"CDC20;CCNB2;CCNB1;PTTG1;CCNE2;CDK1;BUB1;AURKA;MAD2L1"
"Human T-cell leukemia virus 1 infection","12/219",0.00216037363739346,0.0600420936704295,0,0,2.7874995504729,17.1082062724073,"CDC20;CCNA2;CCNB2;MMP7;PTTG1;CCNE2;CREB3L4;CDKN2A;CHEK1;SLC2A1;BUB1B;MAD2L1"
"Transcriptional misregulation in cancer","11/192",0.00230931129501652,0.0600420936704295,0,0,2.91893222471418,17.7202710870459,"HOXA10;CCNA2;FUT8;SIX4;PLAU;IGFBP3;HMGA2;SIX1;ETV4;MMP9;RUNX2"
"Fructose and mannose metabolism","4/33",0.00464535549848179,0.0959786679053806,0,0,6.56296669183656,35.2555179214073,"AKR1B10;GMDS;HKDC1;SORD"
"Progesterone-mediated oocyte maturation","7/100",0.00482395776077822,0.0959786679053806,0,0,3.59593084545646,19.181272548609,"CCNA2;CCNB2;CCNB1;CDK1;BUB1;AURKA;MAD2L1"
