"from","to","combined_score"
"9606.ENSP00000247191","9606.ENSP00000251496",987
"9606.ENSP00000247191","9606.ENSP00000251496",987
"9606.ENSP00000247191","9606.ENSP00000256442",988
"9606.ENSP00000247191","9606.ENSP00000256442",988
"9606.ENSP00000251496","9606.ENSP00000256442",994
"9606.ENSP00000251496","9606.ENSP00000256442",994
"9606.ENSP00000247191","9606.ENSP00000260731",999
"9606.ENSP00000247191","9606.ENSP00000260731",999
"9606.ENSP00000251496","9606.ENSP00000260731",993
"9606.ENSP00000251496","9606.ENSP00000260731",993
"9606.ENSP00000256442","9606.ENSP00000260731",987
"9606.ENSP00000256442","9606.ENSP00000260731",987
"9606.ENSP00000247191","9606.ENSP00000261597",988
"9606.ENSP00000247191","9606.ENSP00000261597",988
"9606.ENSP00000251496","9606.ENSP00000261597",991
"9606.ENSP00000251496","9606.ENSP00000261597",991
"9606.ENSP00000256442","9606.ENSP00000261597",992
"9606.ENSP00000256442","9606.ENSP00000261597",992
"9606.ENSP00000260731","9606.ENSP00000261597",995
"9606.ENSP00000260731","9606.ENSP00000261597",995
"9606.ENSP00000247191","9606.ENSP00000262105",800
"9606.ENSP00000247191","9606.ENSP00000262105",800
"9606.ENSP00000251496","9606.ENSP00000262105",958
"9606.ENSP00000251496","9606.ENSP00000262105",958
"9606.ENSP00000256442","9606.ENSP00000262105",908
"9606.ENSP00000256442","9606.ENSP00000262105",908
"9606.ENSP00000260731","9606.ENSP00000262105",973
"9606.ENSP00000260731","9606.ENSP00000262105",973
"9606.ENSP00000261597","9606.ENSP00000262105",884
"9606.ENSP00000261597","9606.ENSP00000262105",884
"9606.ENSP00000247191","9606.ENSP00000262293",682
"9606.ENSP00000247191","9606.ENSP00000262293",682
"9606.ENSP00000251496","9606.ENSP00000262293",455
"9606.ENSP00000251496","9606.ENSP00000262293",455
"9606.ENSP00000256442","9606.ENSP00000262293",551
"9606.ENSP00000256442","9606.ENSP00000262293",551
"9606.ENSP00000260731","9606.ENSP00000262293",632
"9606.ENSP00000260731","9606.ENSP00000262293",632
"9606.ENSP00000261597","9606.ENSP00000262293",524
"9606.ENSP00000261597","9606.ENSP00000262293",524
