"Gene","HR","P_value","FDR"
"KRT6A",1.142,0,0
"ANLN",1.302,0,0
"CLIC6",0.851,2e-05,0.00475
"HMGA2",1.288,3e-05,0.00475
"DLGAP5",1.283,3e-05,0.00475
"HMMR",1.329,4e-05,0.00475
"CCNA2",1.268,4e-05,0.00475
"FAM83A",1.168,4e-05,0.00475
"PCDH7",1.3,5e-05,0.00475
"RRM2",1.273,5e-05,0.00475
"ERO1A",1.31,5e-05,0.00475
"ECT2",1.295,1e-04,0.0077
"DEPDC1B",1.344,0.00011,0.0077
"TPX2",1.195,0.00012,0.0077
"KIF14",1.375,0.00012,0.0077
"KIF20A",1.292,0.00013,0.0077
"KIF4A",1.262,0.00014,0.0077
"SHCBP1",1.412,0.00014,0.0077
"PLEK2",1.256,0.00014,0.0077
"CYP4B1",0.893,0.00017,0.0088825
"NCAPG",1.283,0.00022,0.010925
"MKI67",1.242,0.00023,0.010925
"NGEF",1.269,0.00026,0.011286
"FOXM1",1.222,0.00026,0.011286
"CCNB1",1.225,0.00027,0.011286
"PRR11",1.317,3e-04,0.0119981481481481
"CHEK1",1.299,0.00031,0.0119981481481481
"GTSE1",1.292,0.00035,0.0129724137931034
"BTG2",0.811,0.00036,0.0129724137931034
"TK1",1.208,4e-04,0.0138209677419355
"NEK2",1.226,0.00041,0.0138209677419355
"CDK1",1.226,0.00044,0.01436875
"NDC80",1.25,0.00053,0.0167833333333333
"ASPM",1.273,0.00058,0.0178264705882353
"CENPU",1.272,0.00063,0.01881
"AKAP12",1.188,0.00067,0.0194486111111111
"KNL1",1.417,0.00072,0.0203351351351351
"PTTG1",1.23,0.00076,0.0209
"CBFA2T3",0.655,0.00079,0.0211679487179487
"CACNA2D2",0.875,0.00082,0.021397619047619
"DEPDC1",1.293,0.00086,0.021397619047619
"CEP55",1.209,0.00086,0.021397619047619
"KIF11",1.25,0.00094,0.0228441860465116
"UHRF1",1.274,0.00098,0.023275
"MAD2L1",1.254,0.00104,0.0241511111111111
"LIFR",0.799,0.00111,0.0249021276595745
"ZNF750",0.823,0.00112,0.0249021276595745
