"Gene","HR","CI_lower","CI_upper","P_value","FDR"
"DLGAP5",1.283,1.142,1.442,3e-05,2e-04
"CCNA2",1.268,1.132,1.421,4e-05,2e-04
"KIF20A",1.292,1.133,1.472,0.00013,0.000433333333333333
"NCAPG",1.283,1.124,1.464,0.00022,0.00054
"CCNB1",1.225,1.098,1.366,0.00027,0.00054
"CDK1",1.226,1.094,1.373,0.00044,0.000733333333333333
"ASPM",1.273,1.109,1.46,0.00058,0.000828571428571429
"KIF11",1.25,1.095,1.427,0.00094,0.00115555555555556
"MAD2L1",1.254,1.095,1.435,0.00104,0.00115555555555556
"BUB1B",1.248,1.089,1.431,0.00141,0.00141
