"GeneSymbol","logFC_GSE","logFC_TCGA","Direction_GSE","Direction_TCGA","Concordant"
"AADAC",-1.00038633333333,-1.3610337907495,"Down","Down",TRUE
"ABCA12",1.00777166666667,5.39843900028419,"Up","Up",TRUE
"ABCA3",-1.2867465,-2.12029597411854,"Down","Down",TRUE
"ABCA4",1.1789,3.67805520399288,"Up","Up",TRUE
"ABCA6",-1.54410766666667,-1.1495029219954,"Down","Down",TRUE
"ABCA8",-2.81134883333333,-2.83609524502989,"Down","Down",TRUE
"ABCA9",-1.11590516666667,-1.65782289235497,"Down","Down",TRUE
"ABCB1",-1.2642985,-1.61249774946639,"Down","Down",TRUE
"ABCC3",2.13360933333333,2.52321211110627,"Up","Up",TRUE
"ABCG2",-1.08206766666667,-2.04366615887695,"Down","Down",TRUE
"ABHD6",-1.00071066666667,-1.27388192256259,"Down","Down",TRUE
"ABI3BP",-2.08896516666667,-2.49927437592497,"Down","Down",TRUE
"ABLIM3",-1.1178885,-1.42412204475141,"Down","Down",TRUE
"ACACB",-1.058162,-1.33325120445594,"Down","Down",TRUE
"ACAD8",1.06345116666667,1.28559279313863,"Up","Up",TRUE
"ACADL",-2.05005733333333,-3.12478537110247,"Down","Down",TRUE
"ACE",-1.3293345,-1.74113177983473,"Down","Down",TRUE
"ACKR1",-2.180656,-2.39392780591473,"Down","Down",TRUE
"ACKR4",-1.77455216666667,-2.378796432077,"Down","Down",TRUE
"ACSS3",-1.14627016666667,-1.61694408547755,"Down","Down",TRUE
"ACVRL1",-1.99019166666667,-2.57070161819928,"Down","Down",TRUE
"ADAM12",1.98297483333333,3.10016956533499,"Up","Up",TRUE
"ADAM28",1.34828633333333,2.29599867382287,"Up","Up",TRUE
"ADAMDEC1",1.69546183333333,2.25935861924544,"Up","Up",TRUE
"ADAMTS1",-2.04391566666667,-2.35084910002191,"Down","Down",TRUE
"ADAMTS12",1.090881,1.85287483797986,"Up","Up",TRUE
"ADAMTS15",-1.16948516666667,-1.52504258193806,"Down","Down",TRUE
"ADAMTS8",-1.72410266666667,-3.53145510042201,"Down","Down",TRUE
"ADAMTSL3",-2.1479345,-2.30884982589279,"Down","Down",TRUE
"ADAMTSL4",-1.27274533333333,-1.81495414419163,"Down","Down",TRUE
"ADARB1",-1.73204616666667,-1.76243048722562,"Down","Down",TRUE
"ADGRB3",-1.166352,-1.53987715503576,"Down","Down",TRUE
"ADGRD1",-1.54897466666667,-1.29419427254815,"Down","Down",TRUE
"ADGRE1",-1.205234,-2.67617103740646,"Down","Down",TRUE
"ADGRE5",-1.051005,-1.29847049630265,"Down","Down",TRUE
"ADGRF1",1.6284905,2.42044592202829,"Up","Up",TRUE
"ADGRL2",-2.07857316666667,-1.88511260739821,"Down","Down",TRUE
"ADGRL3",-1.333084,-1.17499572344819,"Down","Down",TRUE
"ADGRL4",-1.30460233333333,-1.28698958045028,"Down","Down",TRUE
"ADH1B",-2.23169383333333,-3.27763221089019,"Down","Down",TRUE
"ADRA1A",-1.89206833333333,-3.4322173742792,"Down","Down",TRUE
"ADRB1",-1.22878466666667,-3.16254335515216,"Down","Down",TRUE
"ADRB2",-1.95728383333333,-3.08997836346638,"Down","Down",TRUE
"ADTRP",-1.23761216666667,-2.10679901593997,"Down","Down",TRUE
"AFAP1-AS1",2.50073533333333,6.30354281593101,"Up","Up",TRUE
"AFAP1L1",-1.59026166666667,-1.68934421808999,"Down","Down",TRUE
"AFF3",-2.27478283333333,-2.36695844148322,"Down","Down",TRUE
"AGER",-3.46291866666667,-5.04108701269838,"Down","Down",TRUE
"AGR2",1.64061766666667,2.48849788868228,"Up","Up",TRUE
"AGTPBP1",-1.0663335,-1.20719905744475,"Down","Down",TRUE
"AGTR1",-2.09755,-1.81791343477069,"Down","Down",TRUE
"AGTR2",-1.243883,-3.01305642391746,"Down","Down",TRUE
"AHNAK",-1.2256705,-1.91178909657804,"Down","Down",TRUE
"AK4",1.3262795,2.5926699805119,"Up","Up",TRUE
"AKAP12",-2.04265383333333,-1.05443483999887,"Down","Down",TRUE
"AKAP14",-1.18474783333333,-2.06448127773046,"Down","Down",TRUE
"AKR1B10",1.46224866666667,7.35290947041092,"Up","Up",TRUE
"ALDH18A1",1.08628883333333,1.61384528653948,"Up","Up",TRUE
"ALDH1A1",-1.0818345,-1.09869193730853,"Down","Down",TRUE
"ALKAL2",-2.615627,-3.00792012118157,"Down","Down",TRUE
"ALOX5",-1.085232,-1.83836442891272,"Down","Down",TRUE
"ALOX5AP",-1.1094435,-1.95267297697239,"Down","Down",TRUE
"AMOTL1",-1.246575,-1.74994487876555,"Down","Down",TRUE
"ANGPT1",-1.62742833333333,-2.27180413342251,"Down","Down",TRUE
"ANGPTL1",-1.8737635,-2.27765612927498,"Down","Down",TRUE
"ANKRD22",1.99603633333333,2.78406560992904,"Up","Up",TRUE
"ANKRD29",-2.31070633333333,-2.17595106196944,"Down","Down",TRUE
"ANLN",2.49188516666667,3.77681624277029,"Up","Up",TRUE
"ANOS1",-2.4164215,-2.79659082357146,"Down","Down",TRUE
"ANP32E",1.20370983333333,1.12269626130526,"Up","Up",TRUE
"ANXA3",-1.77647783333333,-1.88878528484633,"Down","Down",TRUE
"ANXA8",-1.59601966666667,-2.55330317965178,"Down","Down",TRUE
"ANXA8L1",-1.85149683333333,-2.45097972245025,"Down","Down",TRUE
"AOC1",1.37981266666667,4.9655285051743,"Up","Up",TRUE
"AOC3",-1.95957533333333,-2.66163861000212,"Down","Down",TRUE
"AOX1",-1.75999216666667,-1.21452935011619,"Down","Down",TRUE
"APOBEC3A",-1.46886516666667,-1.30351304890018,"Down","Down",TRUE
"APOL3",-1.05550666666667,-1.32617443610476,"Down","Down",TRUE
"APOLD1",-1.76048333333333,-2.01337643849674,"Down","Down",TRUE
"AQP1",-1.78952866666667,-1.52754968347341,"Down","Down",TRUE
"AQP4",-2.3746905,-2.98241989817325,"Down","Down",TRUE
"AQP9",-1.364856,-1.56918223033673,"Down","Down",TRUE
"ARAP2",-1.1393685,-1.15920067529215,"Down","Down",TRUE
"ARAP3",-1.11049883333333,-1.3583313200358,"Down","Down",TRUE
"ARC",-1.3431195,-3.44899963455424,"Down","Down",TRUE
"ARGLU1-DT",-1.115351,-2.65611769785102,"Down","Down",TRUE
"ARHGAP29",-1.31447416666667,-1.19063464037621,"Down","Down",TRUE
"ARHGAP31",-1.11744616666667,-2.13456387646067,"Down","Down",TRUE
"ARHGAP6",-2.10154266666667,-2.35214433834134,"Down","Down",TRUE
"ARHGEF15",-1.18922533333333,-2.46389751080378,"Down","Down",TRUE
"ARHGEF19",1.1194455,1.52260777913662,"Up","Up",TRUE
"ARHGEF26",-2.22339716666667,-2.67695734671536,"Down","Down",TRUE
"ARL13B",-1.0367775,-1.0731640663057,"Down","Down",TRUE
"ARRB1",-1.21062633333333,-1.36259243806786,"Down","Down",TRUE
"ARSL",1.64067,2.0026522893823,"Up","Up",TRUE
"ART4",-1.22064233333333,-2.22578425336486,"Down","Down",TRUE
"ASPA",-1.6501755,-2.62319741560146,"Down","Down",TRUE
"ASPM",1.71439883333333,3.74357368428467,"Up","Up",TRUE
"ATF3",-1.99735983333333,-1.77777553471876,"Down","Down",TRUE
"ATOH8",-1.543984,-1.64108237441868,"Down","Down",TRUE
"ATP10B",1.49628383333333,5.50464591088515,"Up","Up",TRUE
"ATP1A2",-1.22457433333333,-2.29278903852809,"Down","Down",TRUE
"AURKA",1.20953283333333,2.63109953332261,"Up","Up",TRUE
"AZGP1",1.30176083333333,1.42984047526755,"Up","Up",TRUE
"B3GALNT1",-1.524741,-1.26991357814254,"Down","Down",TRUE
"BACE2",1.184351,1.47223020445852,"Up","Up",TRUE
"BAIAP2L1",1.20656866666667,1.22634015188063,"Up","Up",TRUE
"BCHE",-2.45927433333333,-2.45151047775624,"Down","Down",TRUE
"BCL2A1",-1.2643875,-1.23224358431357,"Down","Down",TRUE
